,Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm_x,Age_x,Pos_x,G_x,GS_x,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Rush_Y/A,Rush_Y/G,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Rush_Att,Teammate Rush_Yds,Teammate Rush_TD,Teammate Rush_1D,Teammate Rush_Lng,Teammate Rush_Y/A,Teammate Rush_Y/G,Teammate Rush_Fmb,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fumbles,Total FP,FPPG
89,Travis Homer,SEA,2019,70,202,4.48,204,Chris Carson,2018,SEA,21.0,RB,16,1,18,114,0,6,29,6.3,7.1,SEA,24.0,RB,14,14,247,1151,9,61,61,4.7,82.2,3,13,11,56,5.1,0,3,11,4.3,0.7,3.5,0,28.0,1.75
90,Rodney Anderson,CIN,2019,72,224,4.63,211,Joe Mixon,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,CIN,22.0,RB,14,13,237,1168,8,60,51,4.9,83.4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
91,Darwin Thompson,KC,2019,68,200,4.5,214,Damien Williams,2018,KAN,22.0,RB,12,0,37,128,1,9,12,3.5,10.7,KAN,26.0,RB,16,3,50,256,4,15,25,5.1,16.0,1,10,9,43,4.8,0,2,19,4.3,0.8,3.6,0,32.1,2.675
92,Mike Weber,DAL,2019,70,211,4.47,218,Ezekiel Elliott,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,DAL,23.0,RB,15,15,304,1434,6,74,41,4.7,95.6,6,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
93,Cullen Gillaspia,HOU,2019,72,235,4.69,220,Carlos Hyde,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,2TM,28.0,RB,14,7,172,571,5,27,22,3.3,40.8,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
94,Kerrith Whyte,CHI,2019,70,200,4.37,222,David Montgomery,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
95,Chandler Cox,MIA,2019,72,235,4.74,233,Kalen Ballage,2018,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,MIA,23.0,RB,12,0,36,191,1,10,75,5.3,15.9,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
96,Myles Gaskin,MIA,2019,70,200,4.58,234,Kalen Ballage,2018,MIA,22.0,RB,7,0,36,133,1,7,27,3.7,19.0,MIA,23.0,RB,12,0,36,191,1,10,75,5.3,15.9,1,12,7,51,7.3,0,2,20,4.3,1.0,7.3,0,31.4,4.485714286
97,Saquon Barkley,NYG,2018,72,233,4.4,2,Wayne Gallman,2017,NYG,21.0,RB,16,16,261,1307,11,50,78,5.0,81.7,NYG,23.0,RB,13,1,111,476,0,24,24,4.3,36.6,3,121,91,721,7.9,4,30,57,6.0,5.7,45.1,0,383.8,23.9875
98,Rashaad Penny,SEA,2018,71,220,4.46,27,Chris Carson,2017,SEA,22.0,RB,14,0,85,419,2,18,38,4.9,29.9,SEA,23.0,RB,4,3,49,208,0,13,30,4.2,52.0,0,12,9,75,8.3,0,3,24,6.3,0.6,5.4,0,70.4,5.028571429
99,Sony Michel,NE,2018,70,215,4.54,31,James White,2017,NWE,23.0,RB,13,8,209,931,6,54,34,4.5,71.6,NWE,25.0,RB,14,4,43,171,0,6,10,4.0,12.2,0,11,7,50,7.1,0,3,13,4.5,0.5,3.8,2,137.1,10.54615385
100,Nick Chubb,CLE,2018,71,227,4.52,35,Duke Johnson Jr.,2017,CLE,23.0,RB,16,9,192,996,8,47,92,5.2,62.3,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,29,20,149,7.5,2,5,24,5.1,1.3,9.3,0,194.5,12.15625
101,Ronald Jones II,TB,2018,72,208,4.48,38,Peyton Barber,2017,TAM,21.0,RB,9,0,23,44,1,2,9,1.9,4.9,TAM,23.0,RB,16,4,108,423,3,25,34,3.9,26.4,2,9,7,33,4.7,0,2,15,3.7,0.8,3.7,0,20.7,2.3
102,Kerryon Johnson,DET,2018,71,213,4.52,43,LeGarrette Blount,2017,DET,21.0,RB,10,7,118,641,3,32,71,5.4,64.1,PHI,31.0,RB,16,11,173,766,2,33,68,4.4,47.9,1,39,32,213,6.7,1,11,24,5.5,3.2,21.3,2,137.4,13.74
103,Derrius Guice,WAS,2018,71,224,4.49,59,Adrian Peterson,2017,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,2TM,32.0,RB,10,7,156,529,2,0,27,3.4,52.9,3,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
104,Royce Freeman,DEN,2018,71,229,4.54,71,Phillip Lindsay,2017,DEN,22.0,RB,14,8,130,521,5,30,24,4.0,37.2,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,20,14,72,5.1,0,2,9,3.6,1.0,5.1,2,99.3,7.092857143
105,Nyheim Hines,IND,2018,69,198,4.38,104,Marlon Mack,2017,IND,22.0,RB,16,4,85,314,2,17,18,3.7,19.6,IND,21.0,RB,14,0,93,358,3,20,35,3.8,25.6,1,81,63,425,6.7,2,29,28,5.2,3.9,26.6,2,156.9,9.80625
106,Mark Walton,CIN,2018,71,202,4.6,112,Joe Mixon,2017,CIN,21.0,RB,14,0,14,34,0,5,10,2.4,2.4,CIN,21.0,RB,14,7,178,626,4,39,25,3.5,44.7,3,8,5,41,8.2,0,1,24,5.1,0.4,2.9,0,12.5,0.892857143
107,Ito Smith,ATL,2018,69,195,4.45,126,Tevin Coleman,2017,ATL,23.0,RB,14,0,90,315,4,18,18,3.5,22.5,ATL,24.0,RB,15,3,156,628,5,27,52,4.0,41.9,1,32,27,152,5.6,0,9,20,4.8,1.9,10.9,2,93.7,6.692857143
108,Kalen Ballage,MIA,2018,73,228,4.46,131,Frank Gore,2017,MIA,23.0,RB,12,0,36,191,1,10,75,5.3,15.9,IND,34.0,RB,16,16,261,961,3,49,21,3.7,60.1,3,11,9,56,6.2,0,2,31,5.1,0.8,4.7,2,35.7,2.975
109,Chase Edmonds,ARI,2018,69,205,4.55,134,David Johnson,2017,ARI,22.0,RB,16,0,60,208,2,14,29,3.5,13.0,ARI,26.0,RB,1,1,11,23,0,0,6,2.1,23.0,2,23,20,103,5.2,0,5,13,4.5,1.3,6.4,2,59.1,3.69375
110,Jordan Wilkins,IND,2018,73,216,4.67,169,Marlon Mack,2017,IND,24.0,RB,16,3,60,336,1,15,53,5.6,21.0,IND,21.0,RB,14,0,93,358,3,20,35,3.8,25.6,1,17,16,85,5.3,0,2,17,5.0,1.0,5.3,4,56.1,3.50625
111,John Kelly,LAR,2018,70,216,4.67,176,Todd Gurley II,2017,LAR,22.0,RB,4,0,27,74,0,6,7,2.7,18.5,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,27,13.5,0,1,18,9.0,0.5,6.8,0,12.1,3.025
112,Boston Scott,PHI,2018,69,203,4.4,201,Wendell Smallwood,2017,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,PHI,23.0,RB,8,3,47,174,1,10,26,3.7,21.8,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
113,Trenton Cannon,NYJ,2018,71,185,4.4,204,Isaiah Crowell,2017,NYJ,24.0,RB,16,0,38,113,1,7,21,3.0,7.1,CLE,24.0,RB,16,16,206,853,2,39,59,4.1,53.3,1,25,17,144,8.5,0,4,35,5.8,1.1,9.0,0,48.7,3.04375
114,David Williams,DEN,2018,74,229,4.51,226,Phillip Lindsay,2017,JAX,24.0,RB,6,0,8,36,0,3,15,4.5,6.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,3.6,0.6
115,Bo Scarbrough,DAL,2018,73,235,4.52,236,Ezekiel Elliott,2017,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,DAL,22.0,RB,10,10,242,983,7,57,30,4.1,98.3,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
116,Justin Jackson,LAC,2018,71,199,4.52,251,Melvin Gordon,2017,LAC,22.0,RB,13,1,50,206,2,13,20,4.1,15.8,LAC,24.0,RB,16,16,284,1105,8,61,87,3.9,69.1,1,19,15,135,9.0,0,5,19,7.1,1.2,10.4,0,61.1,4.7
117,Leonard Fournette,JAC,2017,72,228,4.51,4,Chris Ivory,2016,JAX,22.0,RB,13,13,268,1040,9,51,90,3.9,80.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,48,36,302,8.4,1,18,28,6.3,2.8,23.2,4,222.2,17.09230769
118,Christian McCaffrey,CAR,2017,71,202,4.48,8,Jonathan Stewart,2016,CAR,21.0,RB,16,10,117,435,2,22,40,3.7,27.2,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,113,80,651,8.1,5,37,37,5.8,5.0,40.7,4,222.6,13.9125
119,Dalvin Cook,MIN,2017,70,210,4.49,41,Latavius Murray,2016,MIN,22.0,RB,4,4,74,354,2,16,33,4.8,88.5,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,16,11,90,8.2,0,3,36,5.6,2.8,22.5,2,63.4,15.85
120,Joe Mixon,CIN,2017,73,226,4.5,48,Jeremy Hill,2016,CIN,21.0,RB,14,7,178,626,4,39,25,3.5,44.7,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,34,30,287,9.6,0,10,67,8.4,2.1,20.5,6,133.3,9.521428571
121,Alvin Kamara,NO,2017,71,214,4.53,67,Mark Ingram,2016,NOR,22.0,RB,16,3,120,728,8,42,74,6.1,45.5,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,100,81,826,10.2,5,38,40,8.3,5.1,51.6,2,310.4,19.4
122,Kareem Hunt,KC,2017,70,216,4.62,86,Charcandrick West,2016,KAN,22.0,RB,16,16,272,1327,8,63,69,4.9,82.9,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,63,53,455,8.6,3,17,78,7.2,3.3,28.4,2,293.2,18.325
123,D'Onta Foreman,HOU,2017,73,233,4.45,89,Lamar Miller,2016,HOU,21.0,RB,10,1,78,327,2,13,39,4.2,32.7,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,8,6,83,13.8,0,4,34,10.4,0.6,8.3,4,51.0,5.1
124,James Conner,PIT,2017,74,233,4.65,105,Le'Veon Bell,2016,PIT,22.0,RB,14,0,32,144,0,4,23,4.5,10.3,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0,14.4,1.028571429
125,Samaje Perine,CIN,2017,71,233,4.65,114,Joe Mixon,2016,WAS,22.0,RB,16,8,175,603,1,23,30,3.4,37.7,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,24,22,182,8.3,1,9,25,7.6,1.4,11.4,4,104.5,6.53125
126,Tarik Cohen,CHI,2017,66,191,4.42,119,Jordan Howard,2016,CHI,22.0,RB,16,4,87,370,2,19,46,4.3,23.1,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,71,53,353,6.7,1,9,70,5.0,3.3,22.1,6,131.3,8.20625
127,Joe Williams,SF,2017,70,210,4.41,121,Carlos Hyde,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
128,Donnel Pumphrey,PHI,2017,69,176,4.48,132,LeGarrette Blount,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
129,Jamaal Williams,GB,2017,72,213,4.59,134,Aaron Jones,2016,GNB,22.0,RB,16,7,153,556,4,32,25,3.6,34.8,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,34,25,262,10.5,2,12,54,7.7,1.6,16.4,0,142.8,8.925
130,Wayne Gallman,NYG,2017,72,210,4.6,140,Orleans Darkwa,2016,NYG,23.0,RB,13,1,111,476,0,24,24,4.3,36.6,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,48,34,193,5.7,1,8,11,4.0,2.6,14.8,6,94.9,7.3
131,Marlon Mack,IND,2017,71,210,4.5,143,Frank Gore,2016,IND,21.0,RB,14,0,93,358,3,20,35,3.8,25.6,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,33,21,225,10.7,1,10,34,6.8,1.5,16.1,2,99.3,7.092857143
132,Brian Hill,ATL,2017,73,219,4.54,156,Devonta Freeman,2016,2TM,22.0,RB,7,0,11,37,0,0,11,3.4,5.3,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,36,18.0,0,0,34,18.0,0.3,5.1,0,9.3,1.328571429
133,Jeremy McNichols,TB,2017,70,214,4.49,162,Doug Martin,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
134,TJ Logan,TB,2017,71,195,4.37,179,Doug Martin,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
135,Aaron Jones,GB,2017,70,208,4.56,182,Jamaal Williams,2016,GNB,23.0,RB,12,4,81,448,4,23,46,5.5,37.3,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,18,9,22,2.4,0,2,9,1.2,0.8,1.8,0,80.0,6.666666667
136,Elijah McGuire,KC,2017,70,214,4.53,188,Kareem Hunt,2016,NYJ,23.0,RB,16,2,88,315,1,14,69,3.6,19.7,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,26,17,177,10.4,1,10,38,6.8,1.1,11.1,4,70.2,4.3875
137,Alex Armah,CAR,2017,72,255,4.84,192,Jonathan Stewart,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
138,De'Angelo Henderson,DEN,2017,71,208,4.48,203,C.J. Anderson,2016,DEN,25.0,RB,5,0,7,13,0,2,5,1.9,2.6,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,36,18.0,1,1,29,18.0,0.4,7.2,0,12.9,2.58
139,Sam Rogers,LAR,2017,71,231,4.71,206,Todd Gurley II,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
140,Brandon Wilson,CIN,2017,71,200,4.55,207,Joe Mixon,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
141,Devante Mays,GB,2017,71,230,4.52,238,Aaron Jones,2016,GNB,23.0,RB,8,0,4,1,0,0,2,0.3,0.1,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,0,0.0,0,0,1,0.0,0.4,0.0,4,-4.9,-0.6125
142,Marquez Williams,JAC,2017,71,259,4.93,240,Leonard Fournette,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
143,Khalfani Muhammad,DEN,2017,69,174,4.34,241,C.J. Anderson,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
144,Elijah Hood,OAK,2017,72,230,4.57,242,Marshawn Lynch,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
145,Christopher Carson,SEA,2017,73,218,4.58,249,Eddie Lacy,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
146,Matt Dayes,CLE,2017,71,205,4.63,252,Isaiah Crowell,2016,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
