Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
John Ursua,SEA,2019,69,182,4.58,236,Tyler Lockett,2018,SEA,25,WR,3,0,1,1,11,11,0,1,11,11,0.3,3.7,0,SEA,26,WR,16,14,70,57,965,16.9,10,37,52,13.8,3.6,60.3,2,2.1,0.7
Terry Godwin,CAR,2019,71,185,4.55,237,D.J. Moore,2018,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,21,WR,16,10,82,55,788,14.3,2,33,82,9.6,3.4,49.3,4,0,0
Dillon Mitchell,MIN,2019,73,197,4.46,239,Stefon Diggs,2018,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,25,WR,15,14,149,102,1021,10,9,49,75,6.9,6.8,68.1,0,0,0
Olabisi Johnson,MIN,2019,72,204,4.51,247,Adam Thielen,2018,MIN,22,WR,16,6,45,31,294,9.5,3,17,23,6.5,1.9,18.4,0,MIN,28,WR,16,16,153,113,1373,12.2,9,74,68,9,7.1,85.8,1,78.4,4.9
D.J. Moore,CAR,2018,72,210,4.42,24,Christian McCaffrey,2017,CAR,21,WR,16,10,82,55,788,14.3,2,33,82,9.6,3.4,49.3,4,CAR,21,RB,16,10,113,80,651,8.1,5,37,37,5.8,5,40.7,2,137.8,8.6125
Calvin Ridley,ATL,2018,73,190,4.43,26,Julio Jones,2017,ATL,24,WR,16,5,92,64,821,12.8,10,39,75,8.9,4,51.3,2,ATL,28,WR,16,16,148,88,1444,16.4,3,67,53,9.8,5.5,90.3,0,202.1,12.63125
Courland Sutton,DEN,2018,75,218,4.54,40,Emmanuel Sanders,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,30,WR,12,11,92,47,555,11.8,2,30,38,6,3.9,46.3,0,0,0
Dante Pettis,SF,2018,73,195,4.47,44,George Kittle,2017,SFO,23,WR,12,7,45,27,467,17.3,5,19,75,10.4,2.3,38.9,2,SFO,24,TE,15,7,63,43,515,12,2,24,44,8.2,2.9,34.3,0,99.7,8.308333333
Christian Kirk,ARI,2018,71,200,4.47,47,Larry Fitzgerald,2017,ARI,22,WR,12,7,68,43,590,13.7,3,21,75,8.7,3.6,49.2,0,ARI,34,WR,16,16,161,109,1156,10.6,6,65,37,7.2,6.8,72.3,1,120,10
Anthony Miller,CHI,2018,71,190,4.5,51,Allen Robinson II,2017,CHI,24,WR,15,4,54,33,423,12.8,7,19,55,7.8,2.2,28.2,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.3,7.686666667
James Washington,PIT,2018,71,213,4.54,60,Antonio Brown,2017,PIT,22,WR,14,6,38,16,217,13.6,1,11,47,5.7,1.1,15.5,0,PIT,29,WR,14,14,163,101,1533,15.2,9,69,57,9.4,7.2,109.5,4,43.7,3.121428571
