Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
Chad Hansen,NYJ,2017,74,202,4.53,141,Jermaine Kearse,2016,NYJ,22,WR,15,1,17,9,94,10.4,0,7,24,5.5,0.6,6.3,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,1.226666667
Shelton Gibson,PHI,2017,71,191,4.5,166,Zach Ertz,2016,PHI,23,WR,5,0,3,2,11,5.5,0,1,6,3.7,0.4,2.2,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.62
Rodney Adams,CHI,2017,73,189,4.44,170,Kendall Wright,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah McKenzie,DEN,2017,68,173,4.42,172,Demaryius Thomas,2016,DEN,22,WR,11,0,13,4,29,7.3,0,2,14,2.2,0.4,2.6,6,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1,-0.463636364
DeAngelo Yancey,GB,2017,74,220,4.53,175,Davante Adams,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Taylor,SF,2017,68,181,4.63,177,Marquise Goodwin,2016,SFO,23,WR,15,1,60,43,430,10,2,27,33,7.2,2.9,28.7,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,6.4
Robert Davis,WAS,2017,75,219,4.44,209,Terrelle Pryor Sr.,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stacy Coley,MIN,2017,72,195,4.45,219,Adam Thielen,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Moore,SEA,2017,72,215,4.43,226,Jimmy Graham,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Ford,MIA,2017,74,194,4.61,237,Kenny Stills,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Brown,DAL,2017,74,222,4.56,239,Cole Beasley,2016,DAL,21,WR,13,1,9,4,33,8.3,0,3,14,3.7,0.3,2.5,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0.561538462
Malachi Dupre,GB,2017,74,196,4.52,247,Jordy Nelson,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
